Country Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Italy,"304.136.333.226.773,00",121.999.342.274.305,241.047.429.826.773,387.903.996.579.552,-940.166.569.157.271,122.653.316.645.808,113.748.763.600.395,611.246.943.765.291,-13.770.757.391.657,187.378.325.762.491
Change,"3,00","1,20","0,20","0,00","-0,10","1,20","1,10","0,60","-0,10","1,90"
